census_year,location,trading_name,business_address,industry_description,longitude,latitude
2022,Melbourne (Remainder),B Convenience,Ground 403 St Kilda Road MELBOURNE VIC 3004,Supermarket and Grocery Stores,144.9759379,-37.83587082
2016,East Melbourne,Mugs Alley,291 Wellington Parade South EAST MELBOURNE 3002,Cafes and Restaurants,144.976539,-37.81674567
2022,Melbourne (Remainder),Vacant,"Suite G3, 405 St Kilda Road MELBOURNE VIC 3004",Vacant Space,144.9761207,-37.83601611
2016,East Melbourne,Krongold Group of Companies,"Part Level 1, 33-41 Agnes Street JOLIMONT 3002",Land Development and Subdivision,144.9797286,-37.81751405
2022,Melbourne (Remainder),Subway,407B St Kilda Road MELBOURNE VIC 3004,Takeaway Food Services,144.9761948,-37.83626983
2016,East Melbourne,vacant,128-136 Jolimont Road JOLIMONT 3002,Vacant Space,144.9791994,-37.81750148
2022,Melbourne (Remainder),Tandem,Level 1 & Part Level 4 417 St Kilda Road MELBOURNE VIC 3004,Management Advice and Other Consulting Services,144.9770437,-37.83774644
2016,East Melbourne,Jolimont Consulting group,124-126 Jolimont Road JOLIMONT 3002,Other Allied Health Services,144.979167,-37.81768969
2022,Melbourne (Remainder),Bon,Part Ground 417 St Kilda Road MELBOURNE VIC 3004,Cafes and Restaurants,144.9770437,-37.83774644
2016,East Melbourne,vacant,"Part Ground , 120 Jolimont Road JOLIMONT 3002",Vacant Space,144.9791361,-37.81786921
2022,Melbourne (Remainder),Tokyo Sushi Kitchen,Part Ground 417 St Kilda Road MELBOURNE VIC 3004,Cafes and Restaurants,144.9770437,-37.83774644
2016,East Melbourne,Dorsavi,"Part Level 1, 120 Jolimont Road JOLIMONT 3002",Scientific Research Services,144.9791361,-37.81786921
2022,Melbourne (Remainder),The Royal Australasian College of Physicians,Part Level 2 417 St Kilda Road MELBOURNE VIC 3004,Business and Professional Association Services,144.9770437,-37.83774644
2016,East Melbourne,Caine Real Estate,"Part Ground , 120 Jolimont Road JOLIMONT 3002",Real Estate Services,144.9791361,-37.81786921
2022,Melbourne (Remainder),Century Plaza Trading Pty Ltd,Part Level 7 417 St Kilda Road MELBOURNE VIC 3004,Financial Asset Investing,144.9770437,-37.83774644
2016,East Melbourne,Cricket Victoria,86-88 Jolimont Street JOLIMONT 3002,Sport and Physical Recreation Administrative Service,144.9797286,-37.81819455
2022,Melbourne (Remainder),Vacant,Part Level 2 & Level 3 417 St Kilda Road MELBOURNE VIC 3004,Vacant Space,144.9770437,-37.83774644
2016,East Melbourne,Melbourne Stars,"Ground , 80 Jolimont Street JOLIMONT 3002",Sport and Physical Recreation Administrative Service,144.980097,-37.81823692
2022,Melbourne (Remainder),Fawkner Express,"Suite 2-3, Ground 431 St Kilda Road MELBOURNE VIC 3004",Supermarket and Grocery Stores,144.9770552,-37.83852859
2016,East Melbourne,B2B Lawyers,76-78 Jolimont Street JOLIMONT 3002,Legal Services,144.980188,-37.81824631
2022,Melbourne (Remainder),Phillip Anthony Partners Pty Ltd,"Suite 19-20, Level 1 431 St Kilda Road MELBOURNE VIC 3004",Accounting Services,144.9770552,-37.83852859
2016,East Melbourne,Housing Industry Association,70 Jolimont Street JOLIMONT 3002,Business and Professional Association Services,144.9803721,-37.81820744
2022,Melbourne (Remainder),Westpac,"Part Suite 43, Level 2 431 St Kilda Road MELBOURNE VIC 3004",Banking,144.9770552,-37.83852859
2016,East Melbourne,W Marshall & Associates,64 Jolimont Street JOLIMONT 3002,Accounting Services,144.9806327,-37.81823634
2022,Melbourne (Remainder),Little Beauty Bar Melbourne,"Suite 9, Ground 431 St Kilda Road MELBOURNE VIC 3004",Hairdressing and Beauty Services,144.9770552,-37.83852859
2016,East Melbourne,Cricket Australia,60 Jolimont Street JOLIMONT 3002,Sport and Physical Recreation Administrative Service,144.9808783,-37.81826356
2022,Melbourne (Remainder),Melbourne Chamber Orchestra Inc,"Suite 31, Level 1 431 St Kilda Road MELBOURNE VIC 3004",Performing Arts Operation,144.9770552,-37.83852859
2016,East Melbourne,Tamarra,32-34 Jolimont Terrace JOLIMONT 3002,Other Auxiliary Finance and Investment Services,144.9814733,-37.81809093
2022,Melbourne (Remainder),Moody Brew Coffee Bar,"Suite 6, Ground 431 St Kilda Road MELBOURNE VIC 3004",Cafes and Restaurants,144.9770552,-37.83852859
2016,East Melbourne,Aggies Cafe Bar Restaurant,137 Agnes Street JOLIMONT 3002,Cafes and Restaurants,144.9799926,-37.81680857
2022,Melbourne (Remainder),Mitchell Munn Valuations Pty Ltd,"Suite 40, Level 1 431 St Kilda Road MELBOURNE VIC 3004",Real Estate Services,144.9770552,-37.83852859
2016,East Melbourne,Yarra Park,Brunton Avenue JOLIMONT 3002,Nature Reserves and Conservation Parks Operation,144.9872876,-37.81972752
2022,Melbourne (Remainder),Australian Nurses Memorial Centre,"Suite 11-12, Ground 431 St Kilda Road MELBOURNE VIC 3004",Business and Professional Association Services,144.9770552,-37.83852859
2016,East Melbourne,Electricity Substation,"Substation 10, Opposite 50 Jolimont Street JOLIMONT 3002",Electricity Transmission,144.9872876,-37.81972752
2022,Melbourne (Remainder),Toorak and St Kilda Road Reserve,Toorak & St Kilda Road Reserve Toorak Road MELBOURNE VIC 3004,Nature Reserves and Conservation Parks Operation,144.9762574,-37.83683415
2016,East Melbourne,National Sports Museum,120 Brunton Avenue JOLIMONT 3002,Museum Operation,144.9831974,-37.82000821
2022,Melbourne (Remainder),Vacant,1A-3 Commercial Road MELBOURNE VIC 3004,Vacant Space,144.9798706,-37.84555711
2016,East Melbourne,Melbourne Cricket Club,120 Brunton Avenue JOLIMONT 3002,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",144.9831974,-37.82000821
2022,Melbourne (Remainder),Nando's Chevron,17 Commercial Road MELBOURNE VIC 3004,Cafes and Restaurants,144.9798706,-37.84555711
2016,East Melbourne,Spotless Services,Part 120 Brunton Avenue JOLIMONT 3002,Cafes and Restaurants,144.9831974,-37.82000821
2022,Melbourne (Remainder),Hawker Canteen,521 St Kilda Road MELBOURNE VIC 3004,Cafes and Restaurants,144.9798706,-37.84555711
2016,East Melbourne,Ticketek,"Part Ground , 120 Brunton Avenue JOLIMONT 3002",Other Administrative Services n.e.c.,144.9831974,-37.82000821
2022,Melbourne (Remainder),Vacant,Part Ground & Level 1-6 541 St Kilda Road MELBOURNE VIC 3004,Vacant Space,144.9800583,-37.84607442
2016,East Melbourne,MCG Tours,120 Brunton Avenue JOLIMONT 3002,Museum Operation,144.9831974,-37.82000821
2022,Melbourne (Remainder),Experian,Level 6 549 St Kilda Road MELBOURNE VIC 3004,Advertising Services,144.9802819,-37.84658908
2016,Melbourne (Remainder),Tennis Australia,Part 200 Batman Avenue MELBOURNE 3004,Sport and Physical Recreation Administrative Service,144.979111,-37.82121117
2022,Southbank,Vacant,33 Meaden Street SOUTHBANK VIC 3006,Vacant Space,144.954001,-37.82778111
2016,Melbourne (Remainder),Melbourne Storm Rugby League Club Limited,Part 60 Olympic Boulevard MELBOURNE 3004,Sports and Physical Recreation Clubs and Sports Professionals,144.9824654,-37.82484984
2022,Southbank,Launch Housing Southbank,Launch Housing 52-70 Haig Street SOUTHBANK VIC 3006,Other Residential Care Services,144.9564237,-37.82727288
2016,Melbourne (Remainder),Edwin's Cafe,Part 60 Olympic Boulevard MELBOURNE 3004,Cafes and Restaurants,144.9824654,-37.82484984
2022,Southbank,Europcar,50-54 Clarendon Street SOUTHBANK VIC 3006,Passenger Car Rental and Hiring,144.9570357,-37.82627107
2016,Melbourne (Remainder),Melbourne Victory Football Club,Part 60 Olympic Boulevard MELBOURNE 3004,Sports and Physical Recreation Clubs and Sports Professionals,144.9824654,-37.82484984
2022,Southbank,BP Connect,322-332 City Road SOUTHBANK VIC 3006,Fuel Retailing,144.9576407,-37.82756039
2016,Melbourne (Remainder),Melbourne Football Club,Part 60 Olympic Boulevard MELBOURNE 3004,Sports and Physical Recreation Clubs and Sports Professionals,144.9824654,-37.82484984
2022,Southbank,Vacant,Basement 334-342 City Road SOUTHBANK VIC 3006,Vacant Space,144.9573513,-37.82783772
2016,Melbourne (Remainder),Victorian Tennis Association,Part 60 Olympic Boulevard MELBOURNE 3004,Sport and Physical Recreation Administrative Service,144.9824654,-37.82484984
2022,Southbank,Vacant,Part Ground 334-342 City Road SOUTHBANK VIC 3006,Vacant Space,144.9573513,-37.82783772
2016,East Melbourne,Wellington Park,Wellington Parade South EAST MELBOURNE 3002,Nature Reserves and Conservation Parks Operation,144.9776995,-37.81603354
2022,Southbank,City Road Management Pty Ltd,344 City Road SOUTHBANK VIC 3006,Accommodation,144.9571246,-37.82794172
2016,East Melbourne,Vacant,63-65 Wellington Parade JOLIMONT 3002,Vacant Space,,
2022,Southbank,Vacant,65-71 Haig Street SOUTHBANK VIC 3006,Vacant Space,144.9565549,-37.82786726
2016,East Melbourne,Weedon Reserve,1-61 Wellington Parade EAST MELBOURNE 3002,Nature Reserves and Conservation Parks Operation,144.9893602,-37.81703859
2022,Southbank,Southbank Residential Pty Ltd,"Unit 102, Ground 45 Haig Street SOUTHBANK VIC 3006",Real Estate Services,144.9573784,-37.82721009
2016,Melbourne (Remainder),@Rice Cafe & Bar,"Shop 2, 391 St Kilda Road MELBOURNE 3004",Cafes and Restaurants,144.9757266,-37.83548659
2022,Southbank,McDonalds,305-331 City Road SOUTHBANK VIC 3006,Cafes and Restaurants,144.9579148,-37.82823635
2016,Melbourne (Remainder),Vacant,"Level 2, 391 St Kilda Road MELBOURNE 3004",Vacant Space,144.9757266,-37.83548659
2022,Southbank,Vacant,Part Ground 285 City Road SOUTHBANK VIC 3006,Vacant Space,144.9587797,-37.82742528
2016,Melbourne (Remainder),Domain Newsagency,"Shop 6, 397 St Kilda Road MELBOURNE 3004",Newspaper and Book Retailing,144.9760424,-37.83571161
2022,Southbank,Vacant,54 Clarke Street SOUTHBANK VIC 3006,Vacant Space,144.9591641,-37.82755226
2016,Melbourne (Remainder),Skin Temple,"Shop 7, 397 St Kilda Road MELBOURNE 3004",Hairdressing and Beauty Services,144.9760424,-37.83571161
2022,Southbank,Crown Staff Parking,127-135 Clarendon Street SOUTHBANK VIC 3006,Casino Operation,144.959142,-37.82829112
2016,Melbourne (Remainder),Domain Post Office,"Shop 4, 397 St Kilda Road MELBOURNE 3004",Postal Services,144.9760424,-37.83571161
2022,Southbank,Peritus Technology Pty Ltd,292-294 City Road SOUTHBANK VIC 3006,Electronic (except Domestic Appliance) and Precision Equipment Repair and Maint,144.9586155,-37.82675831
2016,Melbourne (Remainder),Earl Canteen,403A St Kilda Road MELBOURNE 3004,Cafes and Restaurants,144.9759474,-37.83587214
2022,Southbank,Vacant,Gnd & Flr1 300 City Road SOUTHBANK VIC 3006,Vacant Space,144.9584594,-37.82689102
2016,Melbourne (Remainder),Vacant,405 St Kilda Road MELBOURNE 3004,Vacant Space,144.9761309,-37.83601897
2022,Southbank,Edwin Wine Bar,105A Clarendon Street SOUTHBANK VIC 3006,Cafes and Restaurants,144.958257,-37.82713113
2016,Melbourne (Remainder),Cafe Rosco,407C-407D St Kilda Road MELBOURNE 3004,Cafes and Restaurants,144.9762043,-37.83627053
2022,Southbank,The Cloakroom Bar,Level 46 308 City Road SOUTHBANK VIC 3006,"Pubs, Taverns and Bars",144.958257,-37.82713113
2016,Melbourne (Remainder),Subway,407B St Kilda Road MELBOURNE 3004,Takeaway Food Services,144.9762043,-37.83627053
2022,Southbank,Vacant,243 City Road SOUTHBANK VIC 3006,Vacant Space,144.9600035,-37.82651045
2016,Melbourne (Remainder),Tien Tran Solicitors,"Part Level 12, 409 St Kilda Road MELBOURNE 3004",Legal Services,144.9769109,-37.83735766
2022,Southbank,Vacant,"Suite 101, Level 1 245 City Road SOUTHBANK VIC 3006",Vacant Space,144.9598182,-37.82674665
2016,Melbourne (Remainder),First 5 Minutes Pty Ltd,"Part Level 9, 409 St Kilda Road MELBOURNE 3004","Adult, Community and Other Education n.e.c.",144.9769109,-37.83735766
2022,Southbank,Vacant,"Shop 2, 263 City Road SOUTHBANK VIC 3006",Vacant Space,144.959494,-37.82684854
2016,Melbourne (Remainder),Port Finance Group Pty Ltd,"Part Level 6, 409 St Kilda Road MELBOURNE 3004",Other Auxiliary Finance and Investment Services,144.9769109,-37.83735766
2022,Southbank,Unified Energy,Part Ground 51-65 Clarke Street SOUTHBANK VIC 3006,Electrical Services,144.9597264,-37.827319
2016,Melbourne (Remainder),Restaurant & Catering Association,"Part Level 3, 409 St Kilda Road MELBOURNE 3004",Business and Professional Association Services,144.9769109,-37.83735766
2022,Southbank,SMA GROUP SERVICES PTY LTD,Part Level 2 51-65 Clarke Street SOUTHBANK VIC 3006,House Construction,144.9597264,-37.827319
2016,Melbourne (Remainder),Next,"Part Level 5, 409 St Kilda Road MELBOURNE 3004",Employment Placement and Recruitment Services,144.9769109,-37.83735766
2022,Southbank,Crown Melbourne Limited,71-75 Clarke Street SOUTHBANK VIC 3006,Parking Services,144.9600728,-37.8280004
2016,Melbourne (Remainder),Australian National Consulting Pty Ltd,"Part Level 12, 409 St Kilda Road MELBOURNE 3004",Other Auxiliary Finance and Investment Services,144.9769109,-37.83735766
2022,Southbank,Imperium 18 Apartments,Level 1-33 18-24 Moray Street SOUTHBANK VIC 3006,Accommodation,144.960196,-37.82675738
2016,Melbourne (Remainder),Vacant,"Part Level 2, 409 St Kilda Road MELBOURNE 3004",Vacant Space,144.9769109,-37.83735766
2022,Southbank,Electricity Substation,Substation 12 Hancock Street SOUTHBANK VIC 3006,Electricity Transmission,144.9602128,-37.8271777
2016,Melbourne (Remainder),Westpac Banking Corporation,"Ground , 409 St Kilda Road MELBOURNE 3004",Banking,144.9769109,-37.83735766
2022,Southbank,Vacant,Part Level 1 42 Moray Street SOUTHBANK VIC 3006,Vacant Space,144.9604137,-37.82754796
2016,Melbourne (Remainder),Quintiq,"Part Level 8, 417-421 St Kilda Road MELBOURNE 3004",Computer System Design and Related Services,144.9770532,-37.83774777
2022,Southbank,Care Park,100-110 Kings Way SOUTHBANK VIC 3006,Parking Services,144.9616645,-37.82794966
2016,Melbourne (Remainder),The Cupcake Queens,"Part Ground , 417 St Kilda Road MELBOURNE 3004",Takeaway Food Services,144.9770532,-37.83774777
2022,Southbank,360 South,11 Moray Street SOUTHBANK VIC 3006,Computer System Design and Related Services,144.9608469,-37.8268518
2016,Melbourne (Remainder),Gilead,"Level 6, 417 St Kilda Road MELBOURNE 3004",Pharmaceutical and Toiletry Goods Wholesaling,144.9770532,-37.83774777
2022,Southbank,Partners In Training Australia Pty Ltd,Part Level 2 21 Moray Street SOUTHBANK VIC 3006,Technical and Vocational Education and Training,144.9611367,-37.82728867
2016,Melbourne (Remainder),The Royal Australasian College of Physicians,"Part Level 2, 417 St Kilda Road MELBOURNE 3004",Business and Professional Association Services,144.9770532,-37.83774777
2022,Southbank,Vacant,Ground 21 Moray Street SOUTHBANK VIC 3006,Vacant Space,144.9611367,-37.82728867
2016,Melbourne (Remainder),Vacant,417 St Kilda Road MELBOURNE 3004,Vacant Space,144.9770532,-37.83774777
2022,Southbank,BWS,"Shop 2, 10 Hoff Boulevard SOUTHBANK VIC 3006",Liquor Retailing,144.9635736,-37.82572544
2016,Melbourne (Remainder),Surefact Australia,"Unit 22, Level 1, 431 St Kilda Road MELBOURNE 3004",Investigation and Security Services,144.9770646,-37.83852993
2022,Southbank,Vacant,"Tenancy 101, Level 1 10 Hoff Boulevard SOUTHBANK VIC 3006",Vacant Space,144.9635736,-37.82572544
2016,Melbourne (Remainder),Eagle Financial Solutions Pty Ltd,"Suite 35, Level 1, 431 St Kilda Road MELBOURNE 3004",Financial Asset Investing,144.9770646,-37.83852993
2022,Southbank,Waku Waku,"Shop 3, 10 Hoff Boulevard SOUTHBANK VIC 3006",Takeaway Food Services,144.9635736,-37.82572544
2016,Melbourne (Remainder),Slater St Bench,"Suite 8, Ground , 431 St Kilda Road MELBOURNE 3004",Cafes and Restaurants,144.9770646,-37.83852993
2022,Southbank,Yarra Park City Pty Ltd,Carpark 10 Hoff Boulevard SOUTHBANK VIC 3006,Parking Services,144.9635736,-37.82572544
2016,Melbourne (Remainder),Dingle Partners Pty Ltd,"Suite 7, Ground , 431 St Kilda Road MELBOURNE 3004",Real Estate Services,144.9770646,-37.83852993
2022,Southbank,Vacant,"Shop 1, 11 Bale Circuit SOUTHBANK VIC 3006",Vacant Space,144.9635736,-37.82572544
2016,Melbourne (Remainder),Fable Music Pty Ltd,"Suite 38, Level 1, 431-431 St Kilda Road MELBOURNE 3004",Reproduction of Recorded Media,144.9770646,-37.83852993
2022,Southbank,Electricity Substation,121-125 Kavanagh Street SOUTHBANK VIC 3006,Electricity Transmission,144.9622651,-37.82639115
2016,Melbourne (Remainder),Byron Consulting Pty Ltd,"Suite 31, Level 1, 431 St Kilda Road MELBOURNE 3004",Management Advice and Other Consulting Services,144.9770646,-37.83852993
2022,Southbank,Vacant,63-83 Kings Way SOUTHBANK VIC 3006,Vacant Space,144.961832,-37.82679655
2016,Melbourne (Remainder),Toorak and St Kilda Road Reserve,Toorak Road MELBOURNE 3004,Nature Reserves and Conservation Parks Operation,144.976265,-37.83683549
2022,Southbank,Vacant,Rear 135-149 Kings Way SOUTHBANK VIC 3006,Vacant Space,144.9643959,-37.82805813
2016,Melbourne (Remainder),Village Melbourne - Ormond Hall,Part 557 St Kilda Road MELBOURNE 3004,Catering Services,144.9809399,-37.84737019
2022,Southbank,Kennedy Park,99-107 Kavanagh Street SOUTHBANK VIC 3006,Nature Reserves and Conservation Parks Operation,144.9632331,-37.82530105
2016,Melbourne (Remainder),Nando's Chevron,17 St Kilda Road MELBOURNE 3004,Cafes and Restaurants,144.9798801,-37.84555849
2022,Southbank,State Coroner's Office,State Coroner's Office 65 Kavanagh Street SOUTHBANK VIC 3006,Justice,144.9647895,-37.82469709
2016,Melbourne (Remainder),Duayne Cafe,"Part Ground , 541 St Kilda Road MELBOURNE 3004",Cafes and Restaurants,144.9800678,-37.8460758
2022,Southbank,Vacant,National Coronial Information System 65 Kavanagh Street SOUTHBANK VIC 3006,Vacant Space,144.9647895,-37.82469709
2016,Melbourne (Remainder),Seek Limited,541 St Kilda Road MELBOURNE 3004,Employment Placement and Recruitment Services,144.9800678,-37.8460758
2022,Southbank,Melbourne Symphony Orchestra,Iwaki Auditorium 120-130 Southbank Boulevard SOUTHBANK VIC 3006,Performing Arts Venue Operation,144.9664969,-37.8239921
2016,Melbourne (Remainder),Vacant,"Part Ground , 541 St Kilda Road MELBOURNE 3004",Vacant Space,144.9800678,-37.8460758
2022,Southbank,Citipower Pty,Substation 98 Sturt Street SOUTHBANK VIC 3006,Electricity Transmission,144.9664969,-37.8239921
2016,Melbourne (Remainder),Reinhild Robertson Pty Ltd,"Suite 13, 545 St Kilda Road MELBOURNE 3004",Specialist Medical Services,144.9801636,-37.84633985
2022,Southbank,Theatre Network Australia,"Part Suite 5, 152 Sturt Street SOUTHBANK VIC 3006",Performing Arts Operation,144.9660716,-37.82539897
2016,Melbourne (Remainder),Farrell Consulting Services,"Suite 8, Part 545 St Kilda Road MELBOURNE 3004",Specialist Medical Services,144.9801636,-37.84633985
2022,Southbank,Australian Performing Arts Market,"Part Suite 5, 152 Sturt Street SOUTHBANK VIC 3006",Performing Arts Operation,144.9660716,-37.82539897
2016,Melbourne (Remainder),Vacant,"Suite 2, 545 St Kilda Road MELBOURNE 3004",Vacant Space,144.9801636,-37.84633985
2022,Southbank,Cafe Godot,"Suite 2A, 152 Sturt Street SOUTHBANK VIC 3006",Cafes and Restaurants,144.9660716,-37.82539897
2016,Melbourne (Remainder),Stuart Pettigrew Design Pty,"Suite 10, 545 St Kilda Road MELBOURNE 3004",Other Specialised Design Services,144.9801636,-37.84633985
2022,Southbank,Betwixt Cafe & Bar,"Part Building 877, 45 Sturt Street SOUTHBANK VIC 3006",Cafes and Restaurants,144.967549,-37.82517894
2016,Melbourne (Remainder),On The Ball Personnel Australasia Pty Ltd,"Suite 11, 545 St Kilda Road MELBOURNE 3004",Employment Placement and Recruitment Services,144.9801636,-37.84633985
2022,Southbank,Electricity Substation,Substation 99A Sturt Street SOUTHBANK VIC 3006,Electricity Distribution,144.9668283,-37.82595534
2016,Melbourne (Remainder),Caliper Human Strategies (Australia) Pty Ltd,"Suite 8, Part 545 St Kilda Road MELBOURNE 3004",Employment Placement and Recruitment Services,144.9801636,-37.84633985
2022,Southbank,Melbourne Recital Centre,Part 31 Sturt Street SOUTHBANK VIC 3006,Performing Arts Venue Operation,144.9678768,-37.82414021
2016,Melbourne (Remainder),Monash University,"Level 1, 549-0 St Kilda Road MELBOURNE 3004",Higher Education,144.9802914,-37.84659046
2022,Southbank,Blondie Bar,Part 31 Sturt Street SOUTHBANK VIC 3006,Cafes and Restaurants,144.9678768,-37.82414021
2016,Melbourne (Remainder),Spotless Group Limited,"Level 1, 549 St Kilda Road MELBOURNE 3004",Catering Services,144.9802914,-37.84659046
2022,Southbank,Faculty Of Fine Arts And Music,33-43 Sturt Street SOUTHBANK VIC 3006,Higher Education,144.9674047,-37.82454586
2016,Melbourne (Remainder),Fair Work Building And Construction,"Level 2, 553 St Kilda Road MELBOURNE 3004",State Government Administration,144.9803878,-37.84685438
2022,Southbank,Hungry Jack's,"Shop 3, 165 Kings Way SOUTHBANK VIC 3006",Cafes and Restaurants,144.9638137,-37.82872356
2016,Southbank,Ace Parking Pty Ltd,33 Meaden Street SOUTHBANK 3006,Parking Services,144.9541473,-37.82778103
2022,Southbank,GM Cabs Southbank,"Shop 1, 153 Kings Way SOUTHBANK VIC 3006",Taxi and Other Road Transport,144.9638137,-37.82872356
2016,Southbank,Open Space,Rear 33 Meaden Street SOUTHBANK 3006,Nature Reserves and Conservation Parks Operation,144.9545792,-37.82746946
2022,Southbank,Vacant,"Shop 2-3, 153 Kings Way SOUTHBANK VIC 3006",Vacant Space,144.9638137,-37.82872356
2016,Southbank,Clarendon St IGA X-Press,42-44 Whiteman Street SOUTHBANK 3006,Supermarket and Grocery Stores,144.9568614,-37.82605674
2022,Southbank,United,"Shop 1, 165 Kings Way SOUTHBANK VIC 3006",Fuel Retailing,144.9638137,-37.82872356
2016,Southbank,Europcar,60-62 Clarendon Street SOUTHBANK 3006,Passenger Car Rental and Hiring,144.9572456,-37.82658959
2022,Southbank,Vacant,"Suite 13, Level 1 117 Sturt Street SOUTHBANK VIC 3006",Vacant Space,144.9669591,-37.8271278
2016,Southbank,Urban Central Accomodation / bar334,334-342 City Road SOUTHBANK 3006,Accommodation,144.9573608,-37.8278391
2022,Southbank,CitiPower,Substation 78 Dodds Street SOUTHBANK VIC 3006,Electricity Transmission,144.9669591,-37.8271278
2016,Southbank,Care Park Pty Ltd,358-366 City Road SOUTHBANK 3006,Parking Services,144.9565599,-37.82822942
2022,Southbank,Kath Papas Productions,"Suite 14, Level 1 117 Sturt Street SOUTHBANK VIC 3006","Creative Artists, Musicians, Writers and Performers",144.9669591,-37.8271278
2016,Southbank,Vacant,"Part Level 1, 57-59 Haig Street SOUTHBANK 3006",Vacant Space,144.9569888,-37.82758165
2022,Southbank,Black Hole Theatre Inc,"Suite 15, Level 1 117 Sturt Street SOUTHBANK VIC 3006","Creative Artists, Musicians, Writers and Performers",144.9669591,-37.8271278
2016,Southbank,The Backlot Studios,65-71 Haig Street SOUTHBANK 3006,Motion Picture Exhibition,144.956566,-37.82788674
2022,Southbank,Malthouse Theatre (Storage 2),"Suite 6, Ground 117 Sturt Street SOUTHBANK VIC 3006",Performing Arts Operation,144.9669591,-37.8271278
2016,Southbank,Southport Customs,"Unit 101, Ground , 45 Haig Street SOUTHBANK 3006",Customs Agency Services,144.9573878,-37.82721146
2022,Southbank,Vacant,Suite 2-3 & Pt Suite 4 Level 1 135 Sturt Street SOUTHBANK VIC 3006,Vacant Space,144.9668657,-37.82743685
2016,Southbank,Budget Rent a Car,293-297 City Road SOUTHBANK 3006,Passenger Car Rental and Hiring,144.9587883,-37.82762557
2022,Southbank,Sturt Street IGA Plus Liquor,Part Ground 151 Sturt Street SOUTHBANK VIC 3006,Supermarket and Grocery Stores,144.9667857,-37.82770122
2016,Southbank,PSG Facility Services,35-37 Hancock Street SOUTHBANK 3006,Other Repair and Maintenance n.e.c.,144.9590462,-37.82793743
2022,Southbank,Grant street reserve,Grant Street Reserve 25-45 Grant Street SOUTHBANK VIC 3006,Nature Reserves and Conservation Parks Operation,144.968549,-37.82589177
2016,Southbank,Vacant,39-51 Hancock Street SOUTHBANK 3006,Vacant Space,144.9588696,-37.8279931
2022,Southbank,CitiPower,"Electres 4542PR, 75 Dodds Street SOUTHBANK VIC 3006",Electricity Transmission,144.9685463,-37.82616589
2016,Southbank,Vacant,54 Clarke Street SOUTHBANK 3006,Vacant Space,144.9591684,-37.82755312
2022,Southbank,Pacific Asia Express Pty Ltd,Part 29 Miles Street SOUTHBANK VIC 3006,Other Water Transport Support Services,144.9667635,-37.82876946
2016,Southbank,Vacant,56 Clarke Street SOUTHBANK 3006,Vacant Space,144.9592126,-37.82763497
2022,Southbank,Motum Simulation Pty Ltd,Part 29 Miles Street SOUTHBANK VIC 3006,Amusement and Other Recreational Activities n.e.c.,144.9667635,-37.82876946
2016,Southbank,Vacant,"Shop 1, 58 Clarke Street SOUTHBANK 3006",Vacant Space,144.9593477,-37.82786672
2022,Southbank,Electricity Substation,Substation 187 Sturt Street SOUTHBANK VIC 3006,Electricity Transmission,144.9662634,-37.82867473
2016,Southbank,Ray White Southbank,301 Clarendon Street SOUTHBANK 3006,Real Estate Services,144.9584811,-37.82773383
2022,Southbank,Vacant,215-217 Sturt Street SOUTHBANK VIC 3006,Vacant Space,144.9661836,-37.82969297
2016,Southbank,Crown Staff Parking,127-135 Clarendon Street SOUTHBANK 3006,Parking Services,144.9591253,-37.82825196
2022,Southbank,Sturt Street Reserve,Sturt Street Reserve 276-280 Sturt Street SOUTHBANK VIC 3006,Nature Reserves and Conservation Parks Operation,144.9649079,-37.82986988
2016,Southbank,Crown Melbourne Limited,284-290 City Road SOUTHBANK 3006,Performing Arts Venue Operation,144.9587208,-37.82659891
2022,Southbank,SJB Planning Pty Ltd,Part Level 1 80 Dorcas Street SOUTHBANK VIC 3006,Architectural Services,144.9662259,-37.83069486
2016,Southbank,Picci,308-310 City Road SOUTHBANK 3006,Furniture Retailing,144.9583122,-37.82702719
2022,Southbank,Human Synergistics Australia Pty Limited,Part Level 1 80 Dorcas Street SOUTHBANK VIC 3006,Market Research and Statistical Services,144.9662259,-37.83069486
2016,Southbank,Melbourne Inner City Management Pty Ltd,Part 243 City Road SOUTHBANK 3006,Real Estate Services,144.9599651,-37.82640247
2022,Southbank,Cengage Learning Australia Pty Limited,Level 5-7 80 Dorcas Street SOUTHBANK VIC 3006,Book Publishing,144.9662259,-37.83069486
2016,Southbank,Vacant,253-267 City Road SOUTHBANK 3006,Vacant Space,144.9594567,-37.82690799
2022,Southbank,Vacant,Part Level 3 100 Dorcas Street SOUTHBANK VIC 3006,Vacant Space,144.9662259,-37.83069486
2016,Southbank,Vacant,11-13 Hancock Street SOUTHBANK 3006,Vacant Space,144.9601354,-37.82763274
2022,Southbank,Project Planning And Management Pty Ltd,Part Ground 100 Dorcas Street SOUTHBANK VIC 3006,Management Advice and Other Consulting Services,144.9662259,-37.83069486
2016,Southbank,Interpacific Insurance Brokers Pty Ltd,15 Hancock Street SOUTHBANK 3006,Financial Asset Broking Services,144.9599743,-37.82768555
2022,Southbank,Rezex Timber,Part Level 2 100 Dorcas Street SOUTHBANK VIC 3006,Commission-Based Wholesaling,144.9662259,-37.83069486
2016,Southbank,Blount Osborne Walsh Pty Ltd,"Part Level 2, 51-65 Clarke Street SOUTHBANK 3006",Real Estate Services,144.959736,-37.82731887
